Sample No,Depth (ft),Net Confining Stress (psig),Grain Density (g/cubic-cm),b (air) psi,Beta ft(-1),Alpha (microns ),Porosity (%),Permeability (md)
77,1002.00,Ambient,2.588,NA,NA,NA,10.10,NA
76,1022.00,Ambient,2.455,NA,NA,NA, 7.63,NA
75,1062.00,1200,2.837,9.01,6.62E+11,1.22E+03,16.66,   0.798
73,1282.00,1200,2.352,,,, 3.18,
72,1390.00,Ambient,2.742,NA,NA,NA, 9.97,NA
71,1424.00,1200,2.690,228.19,1.40E+17,1.02E+05, 1.42,   0.00157
70,1620.00,1200,2.716,239.28,1.96E+17,1.25E+05, 1.89,   0.00141
69,1690.00,1200,2.703,346.90,1.27E+18,2.98E+05, 1.68,   0.000684
68,1721.00,1200,2.737,108.52,2.29E+15,1.44E+04, 4.70,   0.00828
64,1923.00,Ambient,2.657,NA,NA,NA,11.77,NA
63,2000.00,1200,2.835,84.09,5.83E+14,7.52E+03, 8.03,   0.0146
62,2048.00,1200,2.807,130.94,6.40E+15,2.34E+04, 7.48,   0.00543
60,2387.00,Ambient,2.664,NA,NA,NA,15.64,NA
59,2489.00,Ambient,2.838,NA,NA,NA, 8.43,NA
58,2608.00,Ambient,2.822,NA,NA,NA, 6.90,NA
56,2685.00,Ambient,2.840,NA,NA,NA, 2.55,NA
55,2749.00,1200,2.793,74.32,8.90E+14,5.18E+03, 4.30,   0.00571
54,2765.00,1200,2.815,,,, 1.10,
53,2819.00,1200,2.811,,,, 1.18,
52,2825.00,1200,2.810,,,, 0.55,
51,2838.00,Ambient,2.812,NA,NA,NA, 2.11,NA
50,3006.00,1200,2.852,25.43,7.72E+12,5.16E+03, 9.93,   0.428
49,3026.00,1200,2.817,88.82,4.18E+15,7.98E+03, 2.81,   0.00198
48,3076.00,1200,2.841,104.07,1.93E+15,1.36E+04, 6.30,   0.00858
47,3154.00,1200,2.846,278.84,3.98E+17,1.67E+05, 1.62,   0.00103
46,3240.00,1200,2.792,,,, 4.15,
45,3282.00,1200,2.722,166.39,2.43E+16,4.41E+04, 4.84,   0.00298
44,3305.00,1200,2.737,10.61,4.54E+13,1.83E+04, 5.45,   0.177
43,3317.00,1200,2.715,1.46,4.20E+10,1.69E+03, 7.80,  13.4
42,3352.00,1200,2.668,NA,NA,NA,19.22,NA
40,3374.00,1200,2.647,1.82,6.27E+08,6.08E+01,13.49,  33.0
38,3441.00,1200,2.797,286.22,4.86E+17,1.89E+05, 1.42,   0.000981
37,3451.00,1200,2.749,285.02,4.80E+17,1.88E+05, 3.92,   0.000990
36,3470.00,1200,2.674,91.55,9.30E+14,9.41E+03, 8.45,   0.0120
35,3498.00,1200,2.661,5.68,3.53E+11,9.09E+02,11.31,   0.997
34,3517.00,1200,2.719,74.52,3.17E+14,5.64E+03, 7.38,   0.0187
33,3544.00,1200,2.772,14.21,3.75E+12,9.93E+02, 3.80,   0.127
32,3550.00,1200,2.665,17.46,6.57E+12,2.30E+03, 7.37,   0.183
31,3567.00,1200,2.677,173.48,3.22E+16,5.13E+04, 2.52,   0.00285
30,3582.00,1200,2.808,157.31,1.86E+16,3.95E+04, 3.70,   0.00355
29,3588.00,1200,2.820,147.76,1.29E+16,3.30E+04, 3.36,   0.00411
28,3594.00,1200,2.850,,,, 0.64,
27,3606.00,1200,2.680,7.84,3.89E+11,6.72E+02,11.64,   0.718
